,loss,val_loss
0,0.26530156,0.26428795
1,0.262831,0.2631879
2,0.2619661,0.26459098
3,0.2613793,0.2625555
4,0.26083937,0.26220432
5,0.26031908,0.2638056
6,0.25975642,0.26241508
7,0.25925568,0.26149145
8,0.25882024,0.26202115
9,0.2582038,0.26235518
10,0.25770095,0.26196805
11,0.2570066,0.26280585
12,0.25641772,0.26236627
13,0.2557939,0.26238307
14,0.25519198,0.26237717
15,0.25433233,0.2629023
16,0.25353992,0.2637859
17,0.2526792,0.26486135
18,0.25187725,0.26441163
19,0.2511095,0.26461953
20,0.2502404,0.26641515
21,0.2490514,0.2668507
22,0.24830143,0.26717237
23,0.24726969,0.26921293
24,0.24639305,0.2713575
25,0.24538742,0.27102742
26,0.24434423,0.27256066
27,0.24344021,0.27241668
28,0.24268186,0.27384782
29,0.24166627,0.27448198
30,0.24063452,0.27554518
31,0.23984936,0.2743746
32,0.23887557,0.27588406
33,0.2380715,0.27861762
34,0.23697163,0.27791476
35,0.23618315,0.27989045
36,0.23526931,0.2817927
37,0.23431894,0.28237447
38,0.23338152,0.28491026
39,0.23253365,0.28519735
40,0.23151001,0.2844924
41,0.23079558,0.28634116
42,0.22989114,0.29075375
43,0.2292178,0.2889762
44,0.2281527,0.2916682
45,0.22746323,0.29237482
46,0.22636874,0.29381528
47,0.22556368,0.29582307
48,0.22460385,0.29619575
49,0.22356392,0.30137873
50,0.22284396,0.2997098
51,0.222113,0.30367535
52,0.22103435,0.30694523
53,0.22018437,0.30294302
54,0.21958378,0.3039576
55,0.2183115,0.30538005
56,0.21771504,0.31506044
57,0.21688187,0.30959296
58,0.21573678,0.31339175
59,0.21499762,0.3148407
60,0.21446006,0.31589198
61,0.2132953,0.31643742
62,0.21250598,0.3175189
63,0.21175754,0.32078195
64,0.21090013,0.32152325
65,0.21003354,0.31988674
66,0.2092171,0.3213682
67,0.20844077,0.32652888
68,0.20781918,0.3280375
69,0.20706548,0.32644573
70,0.20605606,0.33128276
71,0.20537655,0.3312813
72,0.20458703,0.3325022
73,0.20395571,0.33456057
74,0.20295891,0.33422002
75,0.20229053,0.33569846
76,0.20175558,0.34311235
77,0.20110051,0.34458724
78,0.20008685,0.34482774
79,0.19950679,0.34816155
80,0.19888239,0.3494902
81,0.19805822,0.3511958
82,0.19738537,0.34853238
83,0.196733,0.35042325
84,0.19606835,0.35720626
85,0.19540794,0.357233
86,0.19489433,0.35665596
87,0.19392052,0.3623838
88,0.19327554,0.36048552
89,0.19276708,0.36307094
90,0.19234893,0.36569595
91,0.19167463,0.36795008
92,0.19089748,0.369762
93,0.19032946,0.3721883
94,0.18952075,0.37498823
95,0.18900886,0.3717666
96,0.18856359,0.37330842
97,0.18799256,0.3770979
98,0.1873414,0.37526467
99,0.18674366,0.37796533
